Gene symbol,RIP LFE,Target bin,Reads bin,Clusters bin,ACUK bin,WGGA bin,RRE Ratio bin,RRE CDS-3UTR bin,Exon Intron Only bin,Exon Intron Ratio bin,Region Exclusive bin,CDS per gene bin,CDS 3UTR Ratio bin,ASD bin,,,,,,,,
HAB1,-0.020621214,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HABP2,,,,,,,,,,,,,,,,,,,,,,
HABP4,0.382003823,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HACE1,0.554067942,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
HACL1,0.619941921,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HADH,-0.054791582,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HADHA,0.070009963,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
HADHB,0.211398216,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
HAGH,0.824040574,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAGHL,0.007193971,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAL,,,,,,,,,,,,,,,,,,,,,,
HAMP,,,,,,,,,,,,,,,,,,,,,,
HAND1,-0.480885302,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAND2,,,,,,,,,,,,,,,,,,,,,,
HAO1,,,,,,,,,,,,,,,,,,,,,,
HAO2,,,,,,,,,,,,,,,,,,,,,,
HAP1,-0.018740273,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAPLN1,0.182813324,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAPLN2,,,,,,,,,,,,,,,,,,,,,,
HAPLN3,-0.010434402,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAPLN4,,,,,,,,,,,,,,,,,,,,,,
HARBI1,0.345596427,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HARS,1.166948158,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,> 4:1,,,,,,,,,
HARS2,1.092502979,Target,37-102 Reads,5-10 Clusters,2-3 ACUK,2-3 WGGA,< 1:1,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
HAS1,,,,,,,,,,,,,,,,,,,,,,
HAS2,,,,,,,,,,,,,,,,,,,,,,
HAS3,0.592620555,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAT1,0.688116397,Target,103-301 Reads,11-24 Clusters,,,,,,5-20:1,, > 13 CDS,> 4:1,,,,,,,,,
HAUS1,-0.415599057,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAUS2,-0.957061149,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
HAUS3,-0.495368309,Target,13-36 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,5'UTR,,,,,,,,,,,
HAUS4,1.133019396,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAUS5,-0.472034203,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAUS6,-0.977933947,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
HAUS7,0.422793692,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HAUS8,1.256254606,Target,5-12 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,CDS,2-3 CDS,,,,,,,,,,
HAVCR1,,,,,,,,,,,,,,,,,,,,,,
HAVCR2,,,,,,,,,,,,,,,,,,,,,,
HAX1,-0.507567123,Target,37-102 Reads,2-4 Clusters,2-3 ACUK,1 WGGA,> 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
HBA1,-1.297025864,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HBA2,,,,,,,,,,,,,,,,,,,,,,
HBB,0.307303095,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HBD,,,,,,,,,,,,,,,,,,,,,,
HBE1,,,,,,,,,,,,,,,,,,,,,,
HBEGF,0.463225612,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HBG1,,,,,,,,,,,,,,,,,,,,,,
HBG2,,,,,,,,,,,,,,,,,,,,,,
HBM,,,,,,,,,,,,,,,,,,,,,,
HBP1,-0.457952484,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
HBQ1,,,,,,,,,,,,,,,,,,,,,,
HBS1L,0.038388681,Target, > 301 Reads, > 24 Clusters,,,,,,1-5:1,, > 13 CDS,> 4:1,,,,,,,,,
HBXIP,-2.326164442,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HBZ,,,,,,,,,,,,,,,,,,,,,,
HCAR1,,,,,,,,,,,,,,,,,,,,,,
HCCS,-2.021911367,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HCFC1,0.739458109,Target, > 301 Reads, > 24 Clusters,,,,,,> 20:1,, > 13 CDS,> 4:1,,,,,,,,,
HCFC1R1,-1.326329527,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HCFC2,-0.146051418,Target,5-12 Reads,1 Cluster,,,,,Exon,,3'UTR,,,,,,,,,,,
HCG18,0.498526569,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HCG26,-0.193937485,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HCK,,,,,,,,,,,,,,,,,,,,,,
HCLS1,,,,,,,,,,,,,,,,,,,,,,
HCN1,,,,,,,,,,,,,,,,,,,,,,
HCN2,0.808892255,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
HCN3,0.808876248,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HCN4,0.60380088,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HCP5,0.478805451,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HCRT,,,,,,,,,,,,,,,,,,,,,,
HCRTR1,,,,,,,,,,,,,,,,,,,,,,
HCRTR2,,,,,,,,,,,,,,,,,,,,,,
HCST,,,,,,,,,,,,,,,,,,,,,,
HDAC1,1.02034854,Target,37-102 Reads,5-10 Clusters,0 ACUK,1 WGGA,,,Exon,,CDS,4-6 CDS,,,,,,,,,,
HDAC10,0.094114008,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDAC11,0.257656275,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDAC2,0.701469149,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
HDAC3,0.453641657,Target,5-12 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
HDAC4,1.089593834,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
HDAC5,0.836941444,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
HDAC6,0.24258098,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDAC7,1.39984874,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDAC8,-0.279667835,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
HDAC9,-0.482935014,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDC,,,,,,,,,,,,,,,,,,,,,,
HDDC2,-0.711591928,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDDC3,-1.038179266,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDGF,-0.909265805,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
HDGFL1,0.042332587,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDGFRP2,1.095178231,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDGFRP3,-1.548344444,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDHD1,,,,,,,,,,,,,,,,,,,,,,
HDHD1A,-0.436728051,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDHD2,-1.354725658,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDHD3,0.079397873,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HDLBP,1.405092254,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HDX,,,,,,,,,,,,,,,,,,,,,,
HEATR1,0.535917841,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HEATR2,0.554870568,Target,103-301 Reads,11-24 Clusters,,,,,,1-5:1,, > 13 CDS,> 4:1,,,,,,,,,
HEATR3,0.261140635,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
HEATR4,,,,,,,,,,,,,,,,,,,,,,
HEATR5A,0.781330443,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEATR5B,1.658295668,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
HEATR6,0.953506929,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HEATR7A,0.496727417,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEATR7B1,,,,,,,,,,,,,,,,,,,,,,
HEATR7B2,,,,,,,,,,,,,,,,,,,,,,
HEATR8,,,,,,,,,,,,,,,,,,,,,,
HEBP1,0.189838544,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEBP2,-0.764804589,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
HECA,0.327207695,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
HECTD1,0.988544303,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HECTD2,-1.358287054,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HECTD3,0.675695443,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HECW1,,,,,,,,,,,,,,,,,,,,,,
HECW2,0.867694063,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEG1,0.927491298,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
HELB,0.268296497,Target,103-301 Reads,11-24 Clusters,,,,,,1-5:1,, > 13 CDS,,,,,,,,,,
HELLS,-0.591771391,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
HELQ,1.217460541,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HELT,,,,,,,,,,,,,,,,,,,,,,
HELZ,-0.928961834,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
HEMGN,,,,,,,,,,,,,,,,,,,,,,
HEMK1,0.167413576,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HENMT1,,,,,,,,,,,,,,,,,,,,,,
HEPACAM,,,,,,,,,,,,,,,,,,,,,,
HEPACAM2,,,,,,,,,,,,,,,,,,,,,,
HEPH,,,,,,,,,,,,,,,,,,,,,,
HEPHL1,,,,,,,,,,,,,,,,,,,,,,
HEPN1,,,,,,,,,,,,,,,,,,,,,,
HERC1,1.808943267,Target,103-301 Reads,11-24 Clusters,4 or more ACUK,2-3 WGGA,> 1:1,,,5-20:1,, > 13 CDS,,,,,,,,,,
HERC2,1.969790483,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HERC2P2,0.594194981,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HERC3,,,,,,,,,,,,,,,,,,,,,,
HERC4,0.514437995,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HERC5,2.07898258,Target,13-36 Reads,5-10 Clusters,,,,,Exon,,CDS,4-6 CDS,,,,,,,,,,
HERC6,1.199777431,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HERPUD1,0.018809928,Target,13-36 Reads,2-4 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
HERPUD2,0.707281038,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
HES1,0.315005353,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
HES2,0.372847391,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HES3,,,,,,,,,,,,,,,,,,,,,,
HES4,-0.30113818,Target,13-36 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
HES5,,,,,,,,,,,,,,,,,,,,,,
HES6,-0.354192705,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HES7,,,,,,,,,,,,,,,,,,,,,,
HESX1,,,,,,,,,,,,,,,,,,,,,,
HEXA,0.032295665,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEXB,0.357387231,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEXDC,0.586193069,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEXIM1,0.114466732,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEXIM2,0.437531867,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEY1,0.244760244,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HEY2,-0.707270722,Target,5-12 Reads,1 Cluster,,,,,Exon,,3'UTR,,,,,,,,,,,
HEYL,0.583993984,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HFE,0.332941085,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HFE2,,,,,,,,,,,,,,,,,,,,,,
HFM1,,,,,,,,,,,,,,,,,,,,,,
HGD,,,,,,,,,,,,,,,,,,,,,,
HGF,0.069646472,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HGFAC,,,,,,,,,,,,,,,,,,,,,,
HGS,1.390588369,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
HGSNAT,-0.704271429,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,Exon,,,1 CDS,1:3 to 3:4,,,,,,,,,
HHAT,0.385787161,Target,5-12 Reads,2-4 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
HHATL,,,,,,,,,,,,,,,,,,,,,,
HHEX,-0.96599909,Target,37-102 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,1:3 to 3:4,,,,,,,,,
HHIP,1.094207814,Target,37-102 Reads,5-10 Clusters,,,,,Intron,,Intron,,,,,,,,,,,
HHIPL1,,,,,,,,,,,,,,,,,,,,,,
HHIPL2,,,,,,,,,,,,,,,,,,,,,,
HHLA1,-0.131689234,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HHLA2,,,,,,,,,,,,,,,,,,,,,,
HHLA3,-1.728199125,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIAT1,-1.453937491,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
HIATL1,-1.601966963,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
HIATL2,-1.31095111,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIBADH,-0.664911716,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIBCH,0.777977753,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIC1,1.260681601,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIC2,0.506057197,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,at most 1:3,,,,,,,,,
HIF1A,0.567714566,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
HIF1AN,0.222417626,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
HIF3A,-0.150086528,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIGD1A,-2.207276372,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,,Intron,,Intron,,,,,,,,,,,
HIGD1B,,,,,,,,,,,,,,,,,,,,,,
HIGD2A,-2.187030661,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIGD2B,,,,,,,,,,,,,,,,,,,,,,
HINFP,1.196091246,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HINT1,-1.786677748,Target,5-12 Reads,1 Cluster,,,,,Exon,,3'UTR,,,,,,,,,,,
HINT2,-1.237888907,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HINT3,1.73411949,Target,103-301 Reads,11-24 Clusters,,,,,,5-20:1,,1 CDS,at most 1:3,,,,,,,,,
HIP1,1.005689697,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-3UTR,Exon,,3'UTR,,,,,,,,,,,
HIP1R,1.315371378,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIPK1,-0.453470383,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
HIPK2,0.305808336,Target, > 301 Reads, > 24 Clusters,,,,,,> 20:1,,7-13 CDS,at most 1:3,,,,,,,,,
HIPK3,,,,,,,,,,,,,,,,,,,,,,
HIPK4,,,,,,,,,,,,,,,,,,,,,,
HIRA,2.470519169,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
HIRIP3,-0.505750922,Target,5-12 Reads,1 Cluster,,,,,Exon,,CDS,1 CDS,,,,,,,,,,
HIST1H1A,,,,,,,,,,,,,,,,,,,,,,
HIST1H1B,,,,,,,,,,,,,,,,,,,,,,
HIST1H1C,-0.142660944,Target, > 301 Reads,5-10 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
HIST1H1D,,,,,,,,,,,,,,,,,,,,,,
HIST1H1E,,,,,,,,,,,,,,,,,,,,,,
HIST1H1T,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AA,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AB,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AC,-1.254250345,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
HIST1H2AD,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AE,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AG,-0.480216213,Target,37-102 Reads,5-10 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
HIST1H2AH,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AI,-0.989404077,Target,37-102 Reads,2-4 Clusters,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
HIST1H2AJ,-0.831531965,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIST1H2AK,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AL,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AM,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BA,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BB,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BC,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BD,-0.588683834,Target,37-102 Reads,5-10 Clusters,,,,,,1-5:1,,4-6 CDS,2 to 4:1,,,,,,,,,
