"","Length","ACUK","WGGA","GAC","GACR","GACARG","QFM","ACUK.freq","WGGA.freq","GAC.freq","GACR.freq","GACARG.freq","QFM.freq"
"Mctp1",2856,25,49,47,22,4,2,8.75,17.16,16.46,7.7,1.4,0.7
"Mctp2",2637,28,58,46,25,4,1,10.62,21.99,17.44,9.48,1.52,0.38
"Mcts1",546,5,5,3,2,0,0,9.16,9.16,5.49,3.66,0,0
"Mcts2",546,8,5,8,5,0,0,14.65,9.16,14.65,9.16,0,0
"Mcu",1053,8,13,25,12,0,2,7.6,12.35,23.74,11.4,0,1.9
"Mcur1",1023,12,12,16,11,0,0,11.73,11.73,15.64,10.75,0,0
"Mdc1",5127,42,93,76,29,4,3,8.19,18.14,14.82,5.66,0.78,0.59
"Mdfi",741,7,14,17,5,0,0,9.45,18.89,22.94,6.75,0,0
"Mdfic",990,7,11,15,7,1,1,7.07,11.11,15.15,7.07,1.01,1.01
"Mdga1",2871,23,34,61,37,4,1,8.01,11.84,21.25,12.89,1.39,0.35
"Mdh1",1005,9,22,24,8,0,2,8.96,21.89,23.88,7.96,0,1.99
"Mdh1b",1503,21,30,21,11,1,0,13.97,19.96,13.97,7.32,0.67,0
"Mdh2",1017,6,14,14,7,0,3,5.9,13.77,13.77,6.88,0,2.95
"Mdk",423,4,9,10,0,0,1,9.46,21.28,23.64,0,0,2.36
"Mdm1",2157,14,46,44,21,2,3,6.49,21.33,20.4,9.74,0.93,1.39
"Mdm2",1470,9,29,29,17,1,2,6.12,19.73,19.73,11.56,0.68,1.36
"Mdm4",1473,16,25,24,14,0,3,10.86,16.97,16.29,9.5,0,2.04
"Mdn1",16770,170,323,276,123,18,3,10.14,19.26,16.46,7.33,1.07,0.18
"Me1",1719,14,24,25,11,1,0,8.14,13.96,14.54,6.4,0.58,0
"Me2",1770,17,25,29,18,2,0,9.6,14.12,16.38,10.17,1.13,0
"Me3",1815,9,24,32,12,3,1,4.96,13.22,17.63,6.61,1.65,0.55
"Mea1",525,3,17,9,4,0,2,5.71,32.38,17.14,7.62,0,3.81
"Meaf6",579,5,13,12,6,0,1,8.64,22.45,20.73,10.36,0,1.73
"Mecom",3156,27,56,47,20,1,1,8.56,17.74,14.89,6.34,0.32,0.32
"Mecp2",1506,13,29,27,10,2,2,8.63,19.26,17.93,6.64,1.33,1.33
"Mecr",1122,9,22,18,8,1,1,8.02,19.61,16.04,7.13,0.89,0.89
"Med10",408,4,8,6,4,0,0,9.8,19.61,14.71,9.8,0,0
"Med11",384,4,8,5,1,0,1,10.42,20.83,13.02,2.6,0,2.6
"Med12",6573,70,80,96,45,4,3,10.65,12.17,14.61,6.85,0.61,0.46
"Med15",2370,12,28,31,12,3,1,5.06,11.81,13.08,5.06,1.27,0.42
"Med17",1950,14,32,34,11,1,2,7.18,16.41,17.44,5.64,0.51,1.03
"Med18",627,4,14,14,9,2,0,6.38,22.33,22.33,14.35,3.19,0
"Med19",735,5,11,10,5,0,1,6.8,14.97,13.61,6.8,0,1.36
"Med20",639,7,8,10,5,0,0,10.95,12.52,15.65,7.82,0,0
"Med21",435,2,5,6,3,0,0,4.6,11.49,13.79,6.9,0,0
"Med22",603,5,11,16,8,0,1,8.29,18.24,26.53,13.27,0,1.66
"Med23",4131,47,65,58,14,0,1,11.38,15.73,14.04,3.39,0,0.24
"Med25",2406,16,27,22,5,0,0,6.65,11.22,9.14,2.08,0,0
"Med26",1767,12,23,35,17,2,1,6.79,13.02,19.81,9.62,1.13,0.57
"Med27",936,8,13,21,12,0,0,8.55,13.89,22.44,12.82,0,0
"Med28",537,6,10,10,7,0,0,11.17,18.62,18.62,13.04,0,0
"Med29",600,9,8,12,7,1,0,15,13.33,20,11.67,1.67,0
"Med30",537,7,11,11,5,0,0,13.04,20.48,20.48,9.31,0,0
"Med31",396,4,6,3,3,0,0,10.1,15.15,7.58,7.58,0,0
"Med4",813,7,12,10,2,0,0,8.61,14.76,12.3,2.46,0,0
"Med6",741,9,14,10,6,1,0,12.15,18.89,13.5,8.1,1.35,0
"Med7",702,5,6,7,3,0,0,7.12,8.55,9.97,4.27,0,0
"Med8",807,5,11,15,7,0,0,6.2,13.63,18.59,8.67,0,0
"Med9",429,0,8,6,3,2,1,0,18.65,13.99,6.99,4.66,2.33
"Medag",912,12,12,16,8,1,0,13.16,13.16,17.54,8.77,1.1,0
"Mef2a",1497,13,25,25,13,2,0,8.68,16.7,16.7,8.68,1.34,0
"Mef2d",1545,11,21,20,8,2,0,7.12,13.59,12.94,5.18,1.29,0
"Megf10",3444,52,44,57,22,2,1,15.1,12.78,16.55,6.39,0.58,0.29
"Megf11",3288,46,47,56,19,3,1,13.99,14.29,17.03,5.78,0.91,0.3
"Megf6",4719,60,60,75,20,1,1,12.71,12.71,15.89,4.24,0.21,0.21
"Megf8",8370,84,115,146,54,8,2,10.04,13.74,17.44,6.45,0.96,0.24
"Mei1",3825,25,55,52,20,2,2,6.54,14.38,13.59,5.23,0.52,0.52
"Meis1",1398,7,21,26,18,0,1,5.01,15.02,18.6,12.88,0,0.72
"Meis3",1137,3,23,28,16,0,2,2.64,20.23,24.63,14.07,0,1.76
"Melk",1932,12,35,30,15,2,1,6.21,18.12,15.53,7.76,1.04,0.52
"Memo1",894,4,13,8,4,1,0,4.47,14.54,8.95,4.47,1.12,0
"Men1",1854,17,26,31,13,2,0,9.17,14.02,16.72,7.01,1.08,0
"Mepce",2001,19,22,31,14,0,0,9.5,10.99,15.49,7,0,0
"Mertk",2985,27,45,46,17,0,1,9.05,15.08,15.41,5.7,0,0.34
"Mesdc2",675,4,12,20,9,0,2,5.93,17.78,29.63,13.33,0,2.96
"Mest",1029,4,12,14,7,1,0,3.89,11.66,13.61,6.8,0.97,0
"Met",4140,38,46,71,31,2,1,9.18,11.11,17.15,7.49,0.48,0.24
"Metap1",1161,14,13,20,9,1,0,12.06,11.2,17.23,7.75,0.86,0
"Metap1d",1008,7,18,22,17,1,2,6.94,17.86,21.83,16.87,0.99,1.98
"Metap2",1467,19,32,29,19,2,2,12.95,21.81,19.77,12.95,1.36,1.36
"Metrnl",936,15,21,17,7,0,1,16.03,22.44,18.16,7.48,0,1.07
"Mettl1",807,7,13,9,3,1,2,8.67,16.11,11.15,3.72,1.24,2.48
"Mettl10",735,11,13,10,4,0,0,14.97,17.69,13.61,5.44,0,0
"Mettl11b",852,11,17,17,9,1,0,12.91,19.95,19.95,10.56,1.17,0
"Mettl13",2097,10,39,42,20,3,4,4.77,18.6,20.03,9.54,1.43,1.91
"Mettl14",1371,11,26,24,11,0,1,8.02,18.96,17.51,8.02,0,0.73
"Mettl15",1221,16,23,22,11,2,2,13.1,18.84,18.02,9.01,1.64,1.64
"Mettl16",1782,15,33,24,12,0,1,8.42,18.52,13.47,6.73,0,0.56
"Mettl17",1461,10,19,21,12,1,1,6.84,13,14.37,8.21,0.68,0.68
"Mettl18",1089,11,13,13,5,1,1,10.1,11.94,11.94,4.59,0.92,0.92
"Mettl2",1170,11,19,22,11,1,0,9.4,16.24,18.8,9.4,0.85,0
"Mettl21a",657,10,13,8,3,0,0,15.22,19.79,12.18,4.57,0,0
"Mettl21b",699,7,6,9,3,0,0,10.01,8.58,12.88,4.29,0,0
"Mettl21e",735,7,11,12,4,3,0,9.52,14.97,16.33,5.44,4.08,0
"Mettl22",1182,13,30,27,11,1,1,11,25.38,22.84,9.31,0.85,0.85
"Mettl23",762,7,14,15,9,1,0,9.19,18.37,19.69,11.81,1.31,0
"Mettl24",1092,9,16,12,6,1,1,8.24,14.65,10.99,5.49,0.92,0.92
"Mettl25",1803,17,23,22,7,1,0,9.43,12.76,12.2,3.88,0.55,0
"Mettl26",615,3,15,13,7,0,0,4.88,24.39,21.14,11.38,0,0
"Mettl3",1743,14,32,31,12,0,0,8.03,18.36,17.79,6.88,0,0
"Mettl4",1416,17,24,10,4,0,1,12.01,16.95,7.06,2.82,0,0.71
"Mettl5",630,5,12,7,4,0,0,7.94,19.05,11.11,6.35,0,0
"Mettl6",849,13,15,17,4,0,1,15.31,17.67,20.02,4.71,0,1.18
"Mettl7a1",735,6,12,9,5,0,0,8.16,16.33,12.24,6.8,0,0
"Mettl7a2",735,7,9,9,4,0,0,9.52,12.24,12.24,5.44,0,0
"Mettl7a2.1",735,7,9,9,4,0,0,9.52,12.24,12.24,5.44,0,0
"Mettl7a3",735,7,9,10,4,0,0,9.52,12.24,13.61,5.44,0,0
"Mettl8",1167,9,22,18,9,1,1,7.71,18.85,15.42,7.71,0.86,0.86
"Mettl9",957,7,12,15,6,0,0,7.31,12.54,15.67,6.27,0,0
"Mex3a",1563,9,17,32,17,2,1,5.76,10.88,20.47,10.88,1.28,0.64
"Mex3b",1731,11,15,32,14,1,2,6.35,8.67,18.49,8.09,0.58,1.16
"Mex3d",2157,15,17,49,20,1,1,6.95,7.88,22.72,9.27,0.46,0.46
"Mfap1a",1320,8,39,20,7,0,2,6.06,29.55,15.15,5.3,0,1.52
"Mfap1b",1320,8,39,20,7,0,2,6.06,29.55,15.15,5.3,0,1.52
"Mfap3",1050,9,15,14,6,0,0,8.57,14.29,13.33,5.71,0,0
"Mfap3l",1230,13,23,27,16,0,3,10.57,18.7,21.95,13.01,0,2.44
"Mff",951,8,13,15,8,0,0,8.41,13.67,15.77,8.41,0,0
"Mfn1",2226,28,34,23,9,1,1,12.58,15.27,10.33,4.04,0.45,0.45
"Mfn2",2274,16,47,41,22,2,2,7.04,20.67,18.03,9.67,0.88,0.88
"Mfng",966,10,11,15,7,0,0,10.35,11.39,15.53,7.25,0,0
"Mfrp",1755,18,21,34,16,2,0,10.26,11.97,19.37,9.12,1.14,0
"Mfrp.1",1755,18,21,34,16,2,0,10.26,11.97,19.37,9.12,1.14,0
"Mfsd1",1395,9,19,15,6,1,0,6.45,13.62,10.75,4.3,0.72,0
"Mfsd10",1371,12,11,14,5,1,1,8.75,8.02,10.21,3.65,0.73,0.73
"Mfsd11",1350,7,19,22,11,0,0,5.19,14.07,16.3,8.15,0,0
"Mfsd12",1431,12,9,22,8,1,1,8.39,6.29,15.37,5.59,0.7,0.7
"Mfsd13a",1560,20,17,25,6,1,1,12.82,10.9,16.03,3.85,0.64,0.64
"Mfsd2a",1605,16,15,19,7,0,0,9.97,9.35,11.84,4.36,0,0
"Mfsd2b",1485,18,19,15,7,1,3,12.12,12.79,10.1,4.71,0.67,2.02
"Mfsd3",1239,20,13,16,5,1,0,16.14,10.49,12.91,4.04,0.81,0
"Mfsd4b1",1278,8,10,16,7,1,0,6.26,7.82,12.52,5.48,0.78,0
"Mfsd4b5",1440,12,15,15,4,2,0,8.33,10.42,10.42,2.78,1.39,0
"Mfsd5",1353,16,15,20,6,0,0,11.83,11.09,14.78,4.43,0,0
"Mfsd7b",1683,11,21,19,11,0,1,6.54,12.48,11.29,6.54,0,0.59
"Mfsd7c",1656,9,24,17,6,0,1,5.43,14.49,10.27,3.62,0,0.6
"Mfsd8",1560,11,24,11,5,0,1,7.05,15.38,7.05,3.21,0,0.64
"Mfsd9",1401,6,22,22,8,0,1,4.28,15.7,15.7,5.71,0,0.71
"Mga",9129,89,144,105,39,1,4,9.75,15.77,11.5,4.27,0.11,0.44
"Mgat4b",1647,23,35,26,9,1,0,13.96,21.25,15.79,5.46,0.61,0
"Mgat4c",1437,21,19,18,9,1,0,14.61,13.22,12.53,6.26,0.7,0
"Mgea5",2751,26,52,42,15,3,2,9.45,18.9,15.27,5.45,1.09,0.73
"Mgme1",1017,8,14,12,4,0,0,7.87,13.77,11.8,3.93,0,0
"Mgp",315,1,4,1,0,0,0,3.17,12.7,3.17,0,0,0
"Mgst1",690,9,7,13,5,3,0,13.04,10.14,18.84,7.25,4.35,0
"Mgst3",462,3,7,2,0,0,0,6.49,15.15,4.33,0,0,0
"Mia2",2418,21,43,26,8,1,1,8.68,17.78,10.75,3.31,0.41,0.41
"Mib1",3021,23,62,47,25,1,2,7.61,20.52,15.56,8.28,0.33,0.66
"Mib2",2766,18,45,49,25,7,3,6.51,16.27,17.72,9.04,2.53,1.08
"Mical1",3147,38,70,43,15,2,2,12.07,22.24,13.66,4.77,0.64,0.64
"Mical1.1",3147,38,70,43,15,2,2,12.07,22.24,13.66,4.77,0.64,0.64
"Mical2",3309,30,51,57,24,4,3,9.07,15.41,17.23,7.25,1.21,0.91
"Mical3",5982,37,164,102,46,10,4,6.19,27.42,17.05,7.69,1.67,0.67
"Micalcl",2043,14,48,29,13,2,3,6.85,23.49,14.19,6.36,0.98,1.47
"Micall1",2613,15,52,40,21,3,3,5.74,19.9,15.31,8.04,1.15,1.15
"Micall2",3030,31,54,52,21,3,4,10.23,17.82,17.16,6.93,0.99,1.32
"Micu1",1452,17,26,32,14,1,1,11.71,17.91,22.04,9.64,0.69,0.69
"Micu2",1299,12,28,21,11,1,1,9.24,21.56,16.17,8.47,0.77,0.77
"Micu3",1572,20,23,26,14,1,1,12.72,14.63,16.54,8.91,0.64,0.64
"Mid1",2043,23,24,41,21,1,0,11.26,11.75,20.07,10.28,0.49,0
"Mid2",2148,19,28,25,11,0,0,8.85,13.04,11.64,5.12,0,0
"Midn",1527,8,16,30,12,1,0,5.24,10.48,19.65,7.86,0.65,0
"Mief1",1392,15,17,33,17,0,1,10.78,12.21,23.71,12.21,0,0.72
"Mief2",1365,13,28,19,10,1,0,9.52,20.51,13.92,7.33,0.73,0
"Mien1",348,1,11,5,2,1,1,2.87,31.61,14.37,5.75,2.87,2.87
"Mier1",1671,12,40,19,8,1,2,7.18,23.94,11.37,4.79,0.6,1.2
"Mier2",1626,14,38,38,17,4,3,8.61,23.37,23.37,10.46,2.46,1.85
"Mier3",1656,19,25,39,21,2,1,11.47,15.1,23.55,12.68,1.21,0.6
"Mif4gd",669,4,12,14,4,0,2,5.98,17.94,20.93,5.98,0,2.99
"Miga1",1803,20,21,32,19,1,1,11.09,11.65,17.75,10.54,0.55,0.55
"Miip",1170,7,24,24,12,1,1,5.98,20.51,20.51,10.26,0.85,0.85
"Mill2",1068,7,22,23,10,1,2,6.55,20.6,21.54,9.36,0.94,1.87
"Mina",1398,13,31,24,8,0,2,9.3,22.17,17.17,5.72,0,1.43
"Minos1",231,3,3,3,1,0,0,12.99,12.99,12.99,4.33,0,0
"Mios",2628,24,40,32,15,2,1,9.13,15.22,12.18,5.71,0.76,0.38
"Mipep",2136,21,34,28,12,0,1,9.83,15.92,13.11,5.62,0,0.47
"Mipol1",1260,13,21,18,11,0,1,10.32,16.67,14.29,8.73,0,0.79
"Mis12",621,8,13,11,5,1,0,12.88,20.93,17.71,8.05,1.61,0
"Mis18a",615,6,10,9,5,1,1,9.76,16.26,14.63,8.13,1.63,1.63
"Mitd1",750,5,13,9,5,1,0,6.67,17.33,12,6.67,1.33,0
"Mitf",1581,9,27,20,11,0,1,5.69,17.08,12.65,6.96,0,0.63
"Mki67",9534,83,183,170,88,11,4,8.71,19.19,17.83,9.23,1.15,0.42
"Mkks",1713,17,19,18,9,2,1,9.92,11.09,10.51,5.25,1.17,0.58
"Mkl1",2895,17,50,44,17,4,2,5.87,17.27,15.2,5.87,1.38,0.69
"Mkln1",2208,25,35,42,24,0,1,11.32,15.85,19.02,10.87,0,0.45
"Mknk1",1248,14,18,24,8,2,2,11.22,14.42,19.23,6.41,1.6,1.6
"Mknk2",1380,11,20,27,9,2,1,7.97,14.49,19.57,6.52,1.45,0.72
"Mkrn1",1446,22,32,25,15,0,2,15.21,22.13,17.29,10.37,0,1.38
"Mkrn2",1251,10,18,18,8,0,1,7.99,14.39,14.39,6.39,0,0.8
"Mkrn3",1635,6,26,17,9,1,1,3.67,15.9,10.4,5.5,0.61,0.61
"Mks1",1686,25,42,30,11,2,2,14.83,24.91,17.79,6.52,1.19,1.19
"Mkx",1065,7,10,25,18,2,0,6.57,9.39,23.47,16.9,1.88,0
"Mlec",876,5,17,18,8,0,1,5.71,19.41,20.55,9.13,0,1.14
"Mlf1",849,6,21,11,5,0,1,7.07,24.73,12.96,5.89,0,1.18
"Mlh1",2283,19,50,37,20,2,2,8.32,21.9,16.21,8.76,0.88,0.88
"Mlh3",4236,38,68,52,25,4,4,8.97,16.05,12.28,5.9,0.94,0.94
"Mlip",2904,24,31,36,14,1,0,8.26,10.67,12.4,4.82,0.34,0
"Mllt1",1644,11,35,31,11,4,4,6.69,21.29,18.86,6.69,2.43,2.43
"Mllt10",3207,23,51,43,20,1,0,7.17,15.9,13.41,6.24,0.31,0
"Mllt3",1710,14,29,28,15,2,2,8.19,16.96,16.37,8.77,1.17,1.17
"Mllt6",3330,24,52,46,18,2,1,7.21,15.62,13.81,5.41,0.6,0.3
"Mlph",1773,11,48,45,22,1,2,6.2,27.07,25.38,12.41,0.56,1.13
"Mlst8",981,6,12,22,9,1,1,6.12,12.23,22.43,9.17,1.02,1.02
"Mlx",897,3,16,18,8,0,1,3.34,17.84,20.07,8.92,0,1.11
"Mlxip",2754,25,37,41,21,1,1,9.08,13.44,14.89,7.63,0.36,0.36
"Mlxipl",2595,24,29,47,17,1,2,9.25,11.18,18.11,6.55,0.39,0.77
"Mlycd",1479,10,22,18,10,1,1,6.76,14.87,12.17,6.76,0.68,0.68
"Mmaa",1248,12,28,23,11,1,1,9.62,22.44,18.43,8.81,0.8,0.8
"Mmab",774,4,12,14,9,2,1,5.17,15.5,18.09,11.63,2.58,1.29
"Mmachc",840,7,9,14,4,1,0,8.33,10.71,16.67,4.76,1.19,0
"Mmadhc",891,14,15,16,5,0,0,15.71,16.84,17.96,5.61,0,0
"Mme",2253,27,42,38,14,0,0,11.98,18.64,16.87,6.21,0,0
"Mmel1",2349,18,55,44,18,3,2,7.66,23.41,18.73,7.66,1.28,0.85
"Mmgt1",396,3,4,5,3,0,0,7.58,10.1,12.63,7.58,0,0
"Mmgt2",372,6,3,9,4,1,0,16.13,8.06,24.19,10.75,2.69,0
"Mmp12",1422,17,24,18,9,0,0,11.95,16.88,12.66,6.33,0,0
"Mmp14",1749,21,31,24,16,3,2,12.01,17.72,13.72,9.15,1.72,1.14
"Mmp15",1974,17,25,32,22,3,1,8.61,12.66,16.21,11.14,1.52,0.51
"Mmp16",1824,19,37,37,18,5,2,10.42,20.29,20.29,9.87,2.74,1.1
"Mmp2",1989,20,38,40,18,5,1,10.06,19.11,20.11,9.05,2.51,0.5
"Mmp23",1176,13,14,16,5,0,0,11.05,11.9,13.61,4.25,0,0
"Mmp24",1857,18,38,29,18,1,2,9.69,20.46,15.62,9.69,0.54,1.08
"Mmp28",1563,17,24,25,13,0,1,10.88,15.36,15.99,8.32,0,0.64
"Mmp9",2193,16,24,52,32,1,0,7.3,10.94,23.71,14.59,0.46,0
"Mmrn2",2832,33,53,42,16,1,1,11.65,18.71,14.83,5.65,0.35,0.35
"Mms19",3096,33,44,39,13,1,1,10.66,14.21,12.6,4.2,0.32,0.32
"Mms22l",3717,45,51,50,26,5,3,12.11,13.72,13.45,6.99,1.35,0.81
"Mnat1",930,7,25,15,7,0,1,7.53,26.88,16.13,7.53,0,1.08
"Mns1",1476,11,45,23,10,0,2,7.45,30.49,15.58,6.78,0,1.36
"Mnt",1776,10,26,25,10,2,1,5.63,14.64,14.08,5.63,1.13,0.56
"Mob1a",651,8,10,8,2,0,2,12.29,15.36,12.29,3.07,0,3.07
"Mob1b",666,8,12,10,4,0,1,12.01,18.02,15.02,6.01,0,1.5
"Mob2",801,15,14,11,4,0,0,18.73,17.48,13.73,4.99,0,0
"Mob3a",654,5,9,11,5,1,0,7.65,13.76,16.82,7.65,1.53,0
"Mob3b",651,9,12,12,3,1,0,13.82,18.43,18.43,4.61,1.54,0
"Mob3c",651,13,11,12,4,1,0,19.97,16.9,18.43,6.14,1.54,0
"Mob4",678,6,10,7,5,0,0,8.85,14.75,10.32,7.37,0,0
"Mocos",2589,23,48,36,14,1,3,8.88,18.54,13.9,5.41,0.39,1.16
"Mocs1",1911,14,29,41,22,1,2,7.33,15.18,21.45,11.51,0.52,1.05
"Mocs2",570,2,8,7,5,0,0,3.51,14.04,12.28,8.77,0,0
"Mocs3",1383,9,15,32,18,1,0,6.51,10.85,23.14,13.02,0.72,0
"Mog",744,8,13,12,3,0,0,10.75,17.47,16.13,4.03,0,0
"Mogs",2505,21,32,32,12,1,1,8.38,12.77,12.77,4.79,0.4,0.4
"Mok",1263,13,15,24,14,1,0,10.29,11.88,19,11.08,0.79,0
"Mon1a",1671,12,24,32,11,2,1,7.18,14.36,19.15,6.58,1.2,0.6
"Mon1b",1662,18,28,32,12,0,4,10.83,16.85,19.25,7.22,0,2.41
"Morc2a",3093,22,63,45,17,0,3,7.11,20.37,14.55,5.5,0,0.97
"Morc2b",3069,23,53,48,20,1,3,7.49,17.27,15.64,6.52,0.33,0.98
"Morc3",2829,26,43,48,27,5,0,9.19,15.2,16.97,9.54,1.77,0
"Morc4",2787,20,51,34,14,2,2,7.18,18.3,12.2,5.02,0.72,0.72
"Morf4l2",867,5,12,8,3,0,1,5.77,13.84,9.23,3.46,0,1.15
"Morn1",1434,9,26,26,14,1,0,6.28,18.13,18.13,9.76,0.7,0
"Morn2",240,8,5,6,3,0,0,33.33,20.83,25,12.5,0,0
"Morn4",441,4,5,9,4,0,0,9.07,11.34,20.41,9.07,0,0
"Mospd1",645,4,10,5,2,0,2,6.2,15.5,7.75,3.1,0,3.1
"Mospd2",1557,16,27,20,12,1,0,10.28,17.34,12.85,7.71,0.64,0
"Mospd3",708,4,12,18,9,1,0,5.65,16.95,25.42,12.71,1.41,0
"Mov10",3234,31,48,58,18,2,2,9.59,14.84,17.93,5.57,0.62,0.62
"Mov10.1",3234,31,48,58,18,2,2,9.59,14.84,17.93,5.57,0.62,0.62
"Moxd1",1842,15,25,24,15,1,1,8.14,13.57,13.03,8.14,0.54,0.54
"Mpc1",504,8,6,10,6,0,0,15.87,11.9,19.84,11.9,0,0
"Mpc2",384,2,6,4,1,0,0,5.21,15.62,10.42,2.6,0,0
"Mpdu1",744,8,9,10,3,0,0,10.75,12.1,13.44,4.03,0,0
"Mpeg1",2163,22,49,36,18,3,1,10.17,22.65,16.64,8.32,1.39,0.46
"Mpg",1002,6,14,22,5,1,0,5.99,13.97,21.96,4.99,1,0
"Mphosph10",2046,14,46,40,22,2,1,6.84,22.48,19.55,10.75,0.98,0.49
"Mphosph6",486,2,12,8,3,0,1,4.12,24.69,16.46,6.17,0,2.06
"Mphosph8",2577,25,59,48,31,4,2,9.7,22.89,18.63,12.03,1.55,0.78
"Mphosph9",3435,35,69,59,28,6,1,10.19,20.09,17.18,8.15,1.75,0.29
"Mpi",1272,13,19,17,10,1,0,10.22,14.94,13.36,7.86,0.79,0
"Mplkip",537,3,6,6,2,0,1,5.59,11.17,11.17,3.72,0,1.86
"Mpp1",1401,11,22,26,11,3,2,7.85,15.7,18.56,7.85,2.14,1.43
"Mpp2",1710,14,35,34,13,1,2,8.19,20.47,19.88,7.6,0.58,1.17
"Mpp3",1758,10,30,30,16,0,2,5.69,17.06,17.06,9.1,0,1.14
"Mpp5",2028,28,31,34,16,2,3,13.81,15.29,16.77,7.89,0.99,1.48
"Mpp6",1662,16,38,22,9,2,1,9.63,22.86,13.24,5.42,1.2,0.6
"Mpp7",1731,15,21,30,16,2,1,8.67,12.13,17.33,9.24,1.16,0.58
"Mppe1",1194,10,23,15,11,0,2,8.38,19.26,12.56,9.21,0,1.68
"Mpped2",885,7,13,22,10,0,1,7.91,14.69,24.86,11.3,0,1.13
"Mpst",894,6,12,17,9,0,0,6.71,13.42,19.02,10.07,0,0
"Mpv17",537,6,7,7,3,0,0,11.17,13.04,13.04,5.59,0,0
"Mpv17l",585,9,8,10,3,0,1,15.38,13.68,17.09,5.13,0,1.71
"Mpv17l2",603,9,6,10,5,1,0,14.93,9.95,16.58,8.29,1.66,0
"Mpzl1",813,5,7,18,12,2,1,6.15,8.61,22.14,14.76,2.46,1.23
"Mpzl2",648,7,8,15,11,0,1,10.8,12.35,23.15,16.98,0,1.54
"Mpzl3",714,6,10,15,8,1,1,8.4,14.01,21.01,11.2,1.4,1.4
"Mr1",1026,6,18,9,7,1,0,5.85,17.54,8.77,6.82,0.97,0
"Mrap2",624,7,13,16,9,3,2,11.22,20.83,25.64,14.42,4.81,3.21
"Mrc1",4371,50,86,66,35,5,2,11.44,19.68,15.1,8.01,1.14,0.46
"Mrc2",4440,45,74,87,36,4,2,10.14,16.67,19.59,8.11,0.9,0.45
"Mre11a",2121,15,38,40,23,2,1,7.07,17.92,18.86,10.84,0.94,0.47
"Mreg",645,4,15,14,4,0,0,6.2,23.26,21.71,6.2,0,0
"Mrgbp",615,6,11,11,7,4,1,9.76,17.89,17.89,11.38,6.5,1.63
"Mrgpre",933,7,9,13,4,0,0,7.5,9.65,13.93,4.29,0,0
"Mrgprf",1032,10,5,9,3,1,0,9.69,4.84,8.72,2.91,0.97,0
"Mri1",1110,13,18,21,6,0,0,11.71,16.22,18.92,5.41,0,0
"Mrm1",963,3,12,14,7,0,2,3.12,12.46,14.54,7.27,0,2.08
"Mrm2",741,8,11,11,4,0,1,10.8,14.84,14.84,5.4,0,1.35
"Mro",741,7,7,10,4,1,0,9.45,9.45,13.5,5.4,1.35,0
"Mroh1",4923,44,98,75,40,6,5,8.94,19.91,15.23,8.13,1.22,1.02
"Mroh5",2289,18,43,40,20,2,0,7.86,18.79,17.47,8.74,0.87,0
"Mroh7",3840,22,62,62,28,0,2,5.73,16.15,16.15,7.29,0,0.52
"Mrpl1",1011,12,11,12,5,0,2,11.87,10.88,11.87,4.95,0,1.98
"Mrpl10",789,5,9,11,5,1,1,6.34,11.41,13.94,6.34,1.27,1.27
"Mrpl11",579,3,6,6,4,1,0,5.18,10.36,10.36,6.91,1.73,0
"Mrpl12",606,1,12,7,5,0,1,1.65,19.8,11.55,8.25,0,1.65
"Mrpl13",537,5,8,9,5,1,0,9.31,14.9,16.76,9.31,1.86,0
"Mrpl14",438,2,3,9,3,0,0,4.57,6.85,20.55,6.85,0,0
"Mrpl15",888,3,9,12,3,0,1,3.38,10.14,13.51,3.38,0,1.13
"Mrpl16",756,12,6,12,7,0,1,15.87,7.94,15.87,9.26,0,1.32
"Mrpl17",531,5,5,10,5,0,0,9.42,9.42,18.83,9.42,0,0
"Mrpl18",543,2,7,4,2,0,0,3.68,12.89,7.37,3.68,0,0
"Mrpl19",879,7,15,10,7,2,1,7.96,17.06,11.38,7.96,2.28,1.14
"Mrpl2",921,5,12,9,4,0,1,5.43,13.03,9.77,4.34,0,1.09
"Mrpl20",450,3,11,6,2,0,1,6.67,24.44,13.33,4.44,0,2.22
"Mrpl21",651,4,11,9,4,0,0,6.14,16.9,13.82,6.14,0,0
"Mrpl22",621,4,8,12,6,1,0,6.44,12.88,19.32,9.66,1.61,0
"Mrpl23",519,4,8,8,0,0,1,7.71,15.41,15.41,0,0,1.93
"Mrpl24",651,7,17,11,5,1,0,10.75,26.11,16.9,7.68,1.54,0
"Mrpl27",447,1,7,6,5,1,0,2.24,15.66,13.42,11.19,2.24,0
"Mrpl28",774,5,21,19,6,3,1,6.46,27.13,24.55,7.75,3.88,1.29
"Mrpl3",1047,11,17,18,7,1,0,10.51,16.24,17.19,6.69,0.96,0
"Mrpl30",483,7,4,6,0,0,0,14.49,8.28,12.42,0,0,0
"Mrpl32",564,2,9,8,5,0,1,3.55,15.96,14.18,8.87,0,1.77
"Mrpl33",324,1,6,3,2,2,0,3.09,18.52,9.26,6.17,6.17,0
"Mrpl34",279,1,1,1,0,0,0,3.58,3.58,3.58,0,0,0
"Mrpl35",567,7,7,9,6,0,0,12.35,12.35,15.87,10.58,0,0
"Mrpl36",309,2,1,6,2,0,0,6.47,3.24,19.42,6.47,0,0
"Mrpl37",1272,9,18,15,6,1,2,7.08,14.15,11.79,4.72,0.79,1.57
